x;system
-7.566370614359279;-1402008.5684186476
-7.556370614359279;-993875.3935552497
-7.5463706143592795;-714179.8984007038
-7.53637061435928;-519798.61195890175
-7.52637061435928;-382916.4946491802
-7.51637061435928;-285320.21963523614
-7.50637061435928;-214913.49174009037
-7.4963706143592805;-163554.63522980153
-7.486370614359281;-125694.20885277576
-7.476370614359281;-97504.30186498404
-7.466370614359281;-76314.49888268608
-7.456370614359281;-60241.80383371569
-7.446370614359282;-47944.866681040854
-7.436370614359282;-38458.874822980055
-7.426370614359282;-31083.416073800345
-7.416370614359282;-25305.522410248937
-7.4063706143592825;-20746.33128335827
-7.396370614359283;-17123.76514143838
-7.386370614359283;-14226.181767509644
-7.376370614359283;-11893.60900367955
-7.366370614359283;-10004.269799499774
-7.3563706143592835;-8464.829112535184
-7.346370614359284;-7203.2807632532285
-7.336370614359284;-6163.721625208411
-7.326370614359284;-5302.485320153172
-7.316370614359284;-4585.26233673786
-7.306370614359285;-3984.9408859447403
-7.296370614359285;-3479.9779174503205
-7.286370614359285;-3053.162647379787
-7.276370614359285;-2690.672512133379
-7.266370614359285;-2381.3483113337134
-7.256370614359286;-2116.1346239033437
-7.246370614359286;-1887.6455791111296
-7.236370614359286;-1689.826273977112
-7.226370614359286;-1517.6876255734417
-7.2163706143592865;-1367.0979900946836
-7.206370614359287;-1234.6190071003157
-7.196370614359287;-1117.3762171430476
-7.186370614359287;-1012.9573208196551
-7.176370614359287;-919.3326797350453
-7.166370614359288;-834.7939236481469
-7.156370614359288;-757.9073937049751
-7.146370614359288;-687.4796578020171
-7.136370614359288;-622.5325091769324
-7.126370614359288;-562.2847518132633
-7.116370614359289;-506.1377913925014
-7.106370614359289;-453.66177990703653
-7.096370614359289;-404.579080161479
-7.086370614359289;-358.7424142682067
-7.0763706143592895;-316.106408175958
-7.06637061435929;-276.6932302749818
-7.05637061435929;-240.55517300220592
-7.04637061435929;-207.73862146139817
-7.03637061435929;-178.25423854417895
-7.026370614359291;-152.05714371338988
-7.016370614359291;-129.0387332809671
-7.006370614359291;-109.02936809146898
-6.996370614359291;-91.80925450670557
-6.986370614359291;-77.12394708029308
-6.976370614359292;-64.70102399790161
-6.966370614359292;-54.2653046790821
-6.956370614359292;-45.5510590065336
-6.946370614359292;-38.31064883269366
-6.9363706143592925;-32.31975869455002
-6.926370614359293;-27.379777869665045
-6.916370614359293;-23.318044756240248
-6.906370614359293;-19.986643962383773
-6.896370614359293;-17.26033744558486
-6.8863706143592935;-15.034072426749095
-6.876370614359294;-13.220375754294073
-6.866370614359294;-11.74683346662762
-6.856370614359294;-10.553770071881672
-6.846370614359294;-9.592182665517738
-6.836370614359295;-8.821945890877986
-6.826370614359295;-8.210279859504217
-6.816370614359295;-7.730459977445063
-6.806370614359295;-7.360741580123152
-6.7963706143592955;-7.083470706754756
-6.786370614359296;-6.884353389758089
-6.776370614359296;-6.751858258496567
-6.766370614359296;-6.676730274279045
-6.756370614359296;-6.651596551607726
-6.7463706143592965;-6.670648214255279
-6.736370614359297;-6.729384952349882
-6.726370614359297;-6.824411338853821
